Text,Category
Ukraine Ambassador to Kenya H.E Andriy Pravednyk today paid a courtesy call on Foreign Affairs CAS Hon Ababu Namwamba. They discussions issues of mutual interest between Kenya and Ukraine.,UNRELATED
"Ministry of Foreign Affairs of Japan Statement

 September 22, 2013
(date of issue of the original Japanese...",UNRELATED
"Policy Advisor Amb. Syong'oh, PS Defence Monica Juma and PS Foreign Affairs Dr. Karanja Kibicho briefing on Somalia",UNRELATED
"H.E Sahle-work Zewde, President of the Federal Democratic Republic of Ethiopia has arrived in Kenya for a one-day official visit where she will hold talks with H.E President Uhuru Kenyatta. H.E was received at the #JKIA by Foreign Affairs Cabinet Secretary Amb Raychelle Omamo.",RECEIVE
"Political and Diplomatic Secretary Amb. Tom Amolo and Nigeria High Commissioner to Kenya, H.E Sheidu Omieza Momoh, who paid him a courtesy call earlier. They discussed Kenya-Nigeria relations and how to strengthen cooperation between the two countries.",UNRELATED
CS @AMB_A_Mohammed when she hosted Japan Special Envoy for UN Affairs Amb. Seichi Kondo in her office.,RECEIVE
"CS #MonicaJuma with Kenya's ambassador in Addis, Ms Catherine Mwangi, at Bole International Airport, Addis Ababa. CS is in Addis to attend IGAD Foreign Ministers' 63rd Extra-Ordinary Session of Council meeting set to discuss South Sudan peace process &amp; review gains met this far.",UNRELATED
"Amb. Stephen Karau, Kenya's envoy to Geneva Switzerland follows proceedings at the Conference in Leisure Lodge.",UNRELATED
Foreign Affairs CS Amb. Amina Mohamed's Opening address at the Kenya-Japan Business forum held at the Nairobi Serena,UNRELATED
"CS @Amb_A_Mohammed: The Conference is co-hosted by Kenya, UK, Korea, Mexico, Netherlands, Somalia, Sri Lanka &amp; Sweden #UNGA",UNRELATED
"""@jumuiya:
Applications are invited from suitably qualified citizens of the East African Community (Burundi,...",UNRELATED
CS @AMB_A_Mohammed: President John Mahama of Ghana paid official visit to Kenya in December 2014,RECEIVE
Amb. Ben Ogutu held talks with Mihai-Stefan Stuparu of Ministry of Foreign Affairs of Romania &amp; Amb. Julia Pataki.,RECEIVE
MoU between Kenya and South Africa concerning the development and implementation of LAPSSET Corridor Projects in the Republic of Kenya,UNRELATED
Message from Algeria,UNRELATED
Kenya-Zambia JPCC pictorial and speech:,UNRELATED
"@amb_a_mohammed is received at Bole Int. Airport, Addis Ababa, by Kenya’s amb. to Ethiopia Amb. Catherine Muigai.",AWAY
Political and Diplomatic Secretary Amb. Tom Amolo met Finland Ambassador to Kenya H.E Erik Lundberg who paid him a courtesy call. They discussed the upcoming Kenya / Finland bilateral consultations in October 2018. Present was Deputy Head of Mission Mr. Ramses Malaty.,UNRELATED
Kenya manages to negotiate release of seven out of eleven South Sudan detainees! Still negotiating for the release of the remaining four!,UNRELATED
President Uhuru Kenyatta bids farewell to the outgoing Iraq Ambassador to Kenya Dr. Mohmeed Saeed Al Shakarchi.,UNRELATED
"@AmbMKimani regretted that the process has not shown sufficient unity within the Council and expressed that Kenya will always give voice to the needs, safety and security of Syrians.
#KenyainUNSC",UNRELATED
"PS for Foreign Affairs Amb. Macharia Kamau, met  Mr Matthew Rycroft the
Permanent Secretary of the United Kingdom, Department for International Development who paid him a courtesy call in his office. @AmbMKamau @MatthewRycroft1",RECEIVE
"Kenya to open a consulate in Lagos, Nigeria, CS @Amb_a_mohammed says in answer to question at #diasporaconference2015",UNRELATED
China Foreign Minister Wang Yi and CS Amb Amina Mohamed at a joint Press...,RECEIVE
"@WilliamsRuto when he arrived at Sharm El Sheikh Int'l Airport, Egypt for 3rd Tripartite Summit of Comesa, EAC &amp; SADC",AWAY
"The IGAD Council of Ministers that has been holding its 67th Extraordinary Session in Juba, South Sudan paid a courtesy call on President Salva Kiir Mayardit at his official residence JI and briefed him on their meeting.",AWAY
"1/2...CS #MonicaJuma held bilateral talks with her counterpart Mr. Wang Yi, Counselor and Minister for Foreign Affairs of the People's Republic of China in Shanghai, China. The two discussed ways to enhance the countries bilateral relations especially improvement of trade..",AWAY
"Kenya, Zambia to tackle trade -",UNRELATED
"President Uhuru Kenyatta welcomes, Amb Awere Phibby Otaala, the new Uganda High Commissioner to Kenya earlier today in State House, Nairobi.",UNRELATED
"Foreign Affairs CAS Hon @AbabuNamwamba on Thursday joined other leaders and dignitaries at the inauguration ceremony of  Maj.Gen Evariste Ndayishimiye, President of Burundi. Hon Namwamba represented President Uhuru Kenyatta at the ceremony held at political capital, Gitega.",AWAY
"PS @AmbMKamau met with Amb. Patrick Saint Hilaire, Charge d'Affairs, Haiti Mission to the United Nations
In New York at the sidelines of the #Kenya4UNSC campaigns in  New York, USA.#DependablePartnerKE",AWAY
"CS @AMB_A_Mohammed: At the Quatro De Fevereiro Airport, Luanda, with Kenya's Amb. to Angola, Amb. Josphat Maikara",UNRELATED
@Karanjakibicho today met Amb. Bridgewater &amp; her delegation from United States &amp; discussed matters of mutaul interest,RECEIVE
Kenya to export tea to Kazakhstan -,UNRELATED
